ID,Field,First5Years,AppliedforGrants,VR,SSMF,Ragnar,ERC,SwedishFoundation,Formas,Forte,Wallenberg,GotaGrant,SufficientVR,SufficientSMSF,SufficientRagnar,SufficientERC,SufficientSF
156,1,2,1,1,0,0,0,0,1,1,0,1,0,2,2,2,2
157,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
158,1,4,1,0,0,0,0,0,0,0,0,1,1,2,2,1,1
159,1,4,1,1,1,0,0,1,0,0,0,0,2,2,2,2,2
160,2,4,1,1,0,0,1,1,0,0,0,0,2,2,2,2,2
161,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
166,1,4,1,1,1,0,0,0,0,1,0,1,1,1,2,2,2
168,1,2,1,1,1,0,0,1,0,0,0,0,2,2,2,2,2
175,1,5,1,1,0,0,1,1,0,0,0,1,0,2,2,1,1
176,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,2
178,1,5,1,1,1,1,1,0,0,0,0,1,1,2,2,2,2
180,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
181,1,2,1,1,1,0,0,1,0,0,0,1,1,1,2,1,1
182,1,3,1,1,1,0,1,1,0,0,0,0,2,2,2,2,2
183,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
184,1,3,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2
186,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
188,1,5,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2
190,1,5,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2
191,1,4,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
194,1,2,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
195,1,5,1,1,1,1,1,1,0,0,0,0,2,2,2,2,2
196,1,4,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2
197,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
200,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
201,1,2,1,1,0,0,1,1,0,0,1,0,2,2,2,2,2
202,1,2,1,1,0,0,0,1,0,0,0,1,1,2,2,2,1
203,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
206,1,4,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
207,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
209,1,4,1,1,0,0,1,0,0,0,0,1,0,2,2,1,2
