,coordinates
161,"[51.5398974, -0.0994843]"
162,"[51.5315964, -0.1085978]"
163,"[51.5413677, -0.1011803]"
164,"[51.5408872, -0.0929203]"
165,"[51.5332844, -0.09387469999999999]"
166,"[51.5331374, -0.1063529]"
167,"[51.5368764, -0.09083039999999999]"
168,"[51.52863120000001, -0.0872034]"
169,"[51.5383136, -0.1051636]"
170,"[51.54305660000001, -0.1078222]"
171,"[51.5466663, -0.0908447]"
172,"[51.5393363, -0.1081781]"
173,"[51.5425741, -0.08389769999999999]"
174,"[51.53104, -0.08749799999999999]"
175,"[51.5462059, -0.0790626]"
176,"[51.5326959, -0.1078136]"
177,"[51.5370909, -0.09477279999999999]"
178,"[51.5455761, -0.0875063]"
179,"[51.5316785, -0.09141529999999999]"
180,"[51.5316785, -0.09141529999999999]"
181,"[51.5455761, -0.0875063]"
182,"[51.5435467, -0.09741200000000001]"
183,"[51.5403824, -0.1077362]"
184,"[51.53706829999999, -0.0927701]"
185,"[51.5420058, -0.1051415]"
186,"[51.5466864, -0.0846924]"
187,"[51.5460753, -0.0931519]"
188,"[51.54584990000001, -0.09989790000000001]"
189,"[51.5439748, -0.0827393]"
190,"[51.536504, -0.09401419999999999]"
191,"[51.5287486, -0.0842704]"
192,"[51.5403221, -0.1028463]"
193,"[51.534253, -0.09895029999999999]"
194,"[51.5320882, -0.0961636]"
195,"[51.53717899999999, -0.084939]"
196,"[51.50070830000001, -0.1577243]"
197,"[51.5368191, -0.0924912]"
198,"[51.531259, -0.1125948]"
199,"[51.5427584, -0.09239409999999999]"
200,"[51.5350537, -0.1086677]"
201,"[51.5311667, -0.0958386]"
202,"[51.5401464, -0.08831499999999999]"
203,"[51.532524, -0.09906749999999999]"
204,"[51.5473269, -0.09265810000000001]"
205,"[51.5423299, -0.1147584]"
206,"[51.5394258, -0.0954618]"
207,"[51.5410716, -0.0992213]"
208,"[51.5365405, -0.1080406]"
209,"[51.5378014, -0.1071729]"
210,"[51.5418357, -0.1169341]"
211,"[51.5321548, -0.1110901]"
212,"[51.5439961, -0.09413400000000001]"
213,"[51.543503, -0.1088595]"
214,"[51.5438996, -0.1083109]"
215,"[51.54692259999999, -0.080036]"
216,"[51.5431258, -0.1129817]"
217,"[51.5277574, -0.0846851]"
218,"[51.53358859999999, -0.1032497]"
219,"[51.54008289999999, -0.1018355]"
220,"[51.5369553, -0.0788001]"
221,"[51.53763379999999, -0.07891859999999999]"
222,"[51.5439914, -0.1103062]"
223,"[51.5395729, -0.1018495]"
224,"[51.5321446, -0.0949536]"
